;; Informe Ciclo medición de humedad 

Fecha:;07-09-2026;;Hora:;10:25

Ciclo;Muestras;Especie;% mc;deb_std;máximo;mímimo;
3366;646;N/A;8,18;0,89;17,2;6,1;

Fecha Inicio;26-08-2026 ; 8:11:11;;Fecha Término;27-08-2026 ; 15:54:16

Criterio de Aceptacion
Humedad: ;9%  +/-2
Aprueba: ;85%
Bajas: ;1,86%
Altas: ;0,77%
Rango: ;97,37%
Resultado: ;Aprobado


HISTOGRAMA

Humedad;% Muestras
6;2
7;48
8;413
9;177
10;1
15;1
16;1
17;3
;
MUESTRAS

Muestra;Valor;Muestra;Valor;Muestra;Valor;Muestra;Valor;

1;8,3;163;9,1;325;8,1;487;8,3
2;9,1;164;8,9;326;8,3;488;8,2
3;8,5;165;8,1;327;8,5;489;8,2
4;8,6;166;7,9;328;8,1;490;8,2
5;8,2;167;8,8;329;8,1;491;8,2
6;7,8;168;7,2;330;7,9;492;8,1
7;8,5;169;7,8;331;8,1;493;8,1
8;7,9;170;8,6;332;8,2;494;8,1
9;7,9;171;8,3;333;8,1;495;7,8
10;7,5;172;8,3;334;7,9;496;7,9
11;8,1;173;8,2;335;7,9;497;7,8
12;7,8;174;7,9;336;7,9;498;7,9
13;7,9;175;7,5;337;7,9;499;7,5
14;7,8;176;7,9;338;7,8;500;7,8
15;7,8;177;7,8;339;10,2;501;7,8
16;7,8;178;7,9;340;7,6;502;8,3
17;7,9;179;7,8;341;7,2;503;6,7
18;8,2;180;8,2;342;8,2;504;9,3
19;8,2;181;7,9;343;7,6;505;9,3
20;8,1;182;8,3;344;7,9;506;9,1
21;8,3;183;7,4;345;8,2;507;8,2
22;7,9;184;7,4;346;8,2;508;7,6
23;7,6;185;7,6;347;7,6;509;8,2
24;7,8;186;8,2;348;7,8;510;8,6
25;8,5;187;8,8;349;8,1;511;8,3
26;8,3;188;8,6;350;7,6;512;8,5
27;8,6;189;8,8;351;7,4;513;8,6
28;8,1;190;8,3;352;7,6;514;8,6
29;7,8;191;8,2;353;7,5;515;8,5
30;7,1;192;7,2;354;7,5;516;8,3
31;7,5;193;7,9;355;7,6;517;8,5
32;7,8;194;7,9;356;7,9;518;8,5
33;8,1;195;8,9;357;7,8;519;8,3
34;7,9;196;8,9;358;7,5;520;8,2
35;7,9;197;9;359;7,8;521;8,3
36;8,2;198;8,8;360;8,3;522;8,3
37;8,3;199;8,6;361;8,3;523;7,8
38;8,2;200;8,3;362;8,3;524;8,1
39;7,6;201;7,8;363;8,2;525;8,1
40;7,4;202;8,2;364;8,2;526;8,3
41;7,9;203;8,3;365;8,5;527;8,3
42;8,1;204;8,3;366;8,3;528;6,9
43;8,1;205;8,5;367;8,3;529;8,3
44;7,6;206;8,3;368;8,2;530;7,9
45;7,9;207;7,8;369;7,9;531;7,9
46;7,6;208;8,3;370;8,3;532;8,1
47;7,8;209;8,3;371;8,2;533;7,8
48;7,9;210;8,3;372;7,9;534;7,9
49;6,9;211;8,5;373;8,2;535;7,9
50;7,6;212;8,6;374;8,3;536;8,5
51;7,5;213;8,6;375;8,1;537;8,5
52;7,4;214;8,5;376;7,9;538;8,5
53;7,8;215;8,5;377;7,8;539;8,5
54;7,6;216;8,6;378;7,9;540;8,5
55;7,9;217;8,6;379;8,2;541;8,3
56;7,8;218;8,2;380;8,1;542;8,2
57;8,2;219;7,8;381;8,1;543;8,1
58;7,6;220;7,6;382;8,3;544;8,5
59;7,5;221;8,1;383;8,1;545;8,6
60;7,1;222;7,9;384;6,9;546;8,6
61;7,1;223;7,5;385;8,2;547;8,5
62;6,8;224;8,1;386;7,6;548;7,6
63;7,1;225;7,8;387;7,2;549;8,5
64;7,8;226;7,9;388;7,2;550;8,6
65;7,5;227;7,6;389;6,9;551;8,6
66;7,9;228;7,9;390;8,3;552;8,1
67;7,2;229;8,1;391;7,9;553;8,5
68;7,2;230;7,2;392;8,2;554;8,2
69;7,6;231;7,2;393;7,9;555;8,2
70;7,5;232;7,4;394;7,9;556;8,2
71;7,8;233;7,1;395;7,9;557;7,9
72;8,3;234;7,2;396;7,2;558;7,9
73;8,3;235;7,2;397;8,2;559;7,8
74;8,8;236;7,2;398;8,1;560;8,3
75;7,4;237;7,2;399;7,8;561;7,8
76;7,8;238;7,4;400;7,6;562;8,2
77;8,2;239;7,5;401;6,1;563;7,8
78;8,1;240;7,5;402;6,1;564;8,1
79;8,3;241;7,6;403;7,6;565;8,5
80;8,1;242;9,2;404;8,2;566;8,6
81;7,8;243;9,2;405;7,8;567;8,3
82;7,9;244;9,3;406;7,6;568;8,9
83;7,8;245;9;407;7,8;569;9
84;7,8;246;9;408;16,6;570;9
85;8,1;247;9,1;409;16,2;571;7,6
86;8,3;248;8,8;410;16,9;572;8,1
87;8,1;249;8,9;411;17,2;573;8,2
88;8,1;250;8,8;412;15,1;574;8,3
89;7,9;251;8,8;413;7,9;575;7,9
90;7,9;252;8,5;414;8,3;576;7,9
91;8,3;253;8,5;415;8,3;577;8,6
92;7,8;254;8,5;416;7,4;578;7,8
93;8,6;255;8,6;417;8,1;579;7,9
94;8,1;256;8,5;418;8,2;580;8,3
95;7,9;257;8,3;419;7,6;581;8,3
96;7,9;258;8,6;420;7,8;582;7,9
97;7,9;259;8,6;421;7,4;583;7,9
98;8,1;260;8,6;422;7,6;584;8,2
99;7,4;261;8,8;423;7,6;585;8,3
100;7,5;262;8,5;424;7,5;586;8,2
101;7,4;263;8,6;425;7,4;587;7,5
102;7,5;264;8,6;426;7,5;588;7,8
103;7,4;265;7,9;427;6,8;589;7,8
104;7,5;266;8,2;428;7,6;590;8,2
105;7,6;267;8,8;429;7,8;591;8,2
106;6,8;268;8,5;430;7,6;592;7,6
107;7,2;269;8,6;431;7,6;593;7,6
108;8,9;270;8,6;432;8,5;594;8,1
109;8,9;271;8,3;433;8,8;595;7,9
110;8,3;272;8,5;434;8,5;596;7,8
111;8,9;273;8,8;435;8,3;597;8,3
112;8,6;274;8,8;436;8,3;598;8,5
113;8,5;275;8,8;437;8,8;599;8,5
114;8,5;276;8,9;438;8,6;600;8,3
115;7,2;277;8,9;439;8,5;601;8,5
116;7,8;278;8,8;440;8,6;602;8,2
117;7,9;279;8,9;441;8,2;603;8,1
118;8,2;280;9;442;8,2;604;7,8
119;7,9;281;8,6;443;8,2;605;8,3
120;7,6;282;8,9;444;7,6;606;8,6
121;7,9;283;8,5;445;7,9;607;8,5
122;7,8;284;8,5;446;8,5;608;9,3
123;7,9;285;8,9;447;8,2;609;8,6
124;8,8;286;8,9;448;8,1;610;8,5
125;8,2;287;8,8;449;7,6;611;8,1
126;7,8;288;8,8;450;8,3;612;8,2
127;8,1;289;8,8;451;8,2;613;7,8
128;8,2;290;8,6;452;7,9;614;7,8
129;7,6;291;8,5;453;8,5;615;7,9
130;7,9;292;8,6;454;8,6;616;7,6
131;8,3;293;8,8;455;8,6;617;7,8
132;7,9;294;8,9;456;9;618;7,6
133;8,3;295;8,9;457;9;619;7,6
134;8,2;296;8,9;458;8,6;620;8,5
135;8,1;297;8,8;459;9,1;621;8,1
136;8,1;298;8,8;460;9,2;622;8,6
137;7,9;299;9;461;8,9;623;8,5
138;8,3;300;8,9;462;9;624;8,8
139;8,2;301;8,9;463;9,1;625;8,5
140;8,2;302;8,9;464;9,2;626;9,2
141;7,8;303;8,9;465;8,3;627;8,3
142;7,9;304;8,6;466;7,4;628;8,9
143;7,6;305;8,6;467;7,8;629;8,6
144;7,8;306;8,8;468;7,9;630;8,8
145;7,8;307;8,8;469;7,9;631;8,5
146;7,5;308;8,3;470;7,9;632;8,3
147;7,2;309;8,2;471;8,1;633;9
148;7,1;310;8,1;472;8,1;634;8,1
149;7,5;311;7,6;473;7,8;635;8,3
150;7,6;312;7,9;474;8,1;636;8,5
151;7,6;313;8,3;475;7,9;637;8,5
152;7,6;314;8,2;476;7,8;638;8,5
153;7,5;315;7,6;477;7,6;639;8,2
154;6,9;316;8,2;478;7,8;640;8,5
155;8,1;317;7,6;479;7,9;641;8,3
156;7,6;318;7,9;480;8,9;642;8,3
157;6,5;319;7,8;481;8,9;643;8,3
158;7,5;320;7,9;482;8,5;644;8,3
159;8,8;321;7,9;483;7,9;645;8,6
160;8,3;322;7,9;484;8,1;646;8,6
161;8,2;323;8,2;485;8,1;;
162;7,9;324;8,3;486;8,3;;
