;; Informe Ciclo medición de humedad 

Fecha:;07-09-2026;;Hora:;10:24

Ciclo;Muestras;Especie;% mc;deb_std;máximo;mímimo;
3364;1222;N/A;8,46;1,09;22,3;6;

Fecha Inicio;26-08-2026 ; 8:10:04;;Fecha Término;01-09-2026 ; 7:59:56

Criterio de Aceptacion
Humedad: ;9%  +/-2
Aprueba: ;85%
Bajas: ;3,27%
Altas: ;2,05%
Rango: ;94,68%
Resultado: ;Aprobado


HISTOGRAMA

Humedad;% Muestras
6;7
7;113
8;522
9;467
10;77
11;16
12;11
13;3
16;2
17;2
18;1
22;1
;
MUESTRAS

Muestra;Valor;Muestra;Valor;Muestra;Valor;Muestra;Valor;

1;8,2;307;7,4;613;8,6;919;8,9
2;8,3;308;8,2;614;8,1;920;8,8
3;8,9;309;9;615;8,3;921;8,8
4;9,1;310;8,8;616;8,2;922;8,6
5;8,5;311;8,9;617;8,3;923;9
6;8,1;312;8,9;618;9;924;9,1
7;7,6;313;8,5;619;8,9;925;8,6
8;7,8;314;8,2;620;8,5;926;9
9;8,2;315;8,6;621;8,5;927;8,9
10;7,9;316;8,6;622;8,2;928;9,1
11;8,2;317;9,5;623;8,6;929;8,8
12;7,9;318;8,3;624;8,6;930;9,3
13;7,8;319;8,5;625;8,8;931;8,8
14;7,9;320;6,8;626;8,8;932;9,2
15;8,1;321;8,9;627;8,8;933;9,2
16;8,3;322;8,2;628;8,8;934;9,2
17;7,9;323;6,8;629;8,5;935;8,9
18;7,8;324;7,8;630;9,8;936;9
19;7,6;325;8,1;631;9,8;937;9
20;8,2;326;8,5;632;9,2;938;9
21;7,9;327;7,8;633;9,5;939;9
22;8,2;328;8,3;634;9,5;940;8,9
23;8,2;329;7,9;635;9;941;9,2
24;8,3;330;8,1;636;9,1;942;9
25;7,4;331;8,6;637;9,2;943;8,6
26;8,6;332;8,8;638;9,1;944;8,9
27;7,6;333;8,9;639;8,9;945;9
28;8,3;334;7,4;640;9,1;946;8,2
29;8,3;335;7,8;641;11,4;947;8,6
30;8,6;336;8,3;642;11,6;948;6,4
31;9;337;8,3;643;11,4;949;7,4
32;9,1;338;6,9;644;11,5;950;8,6
